,home_team,away_team,home_goals,away_goals,result
273,Aston Villa,Tottenham Hotspur,0.0,4.0,A
274,Brighton & Hove Albion,Nottingham Forest,1.0,0.0,H
275,West Ham United,Burnley,2.0,2.0,D
276,Liverpool,Manchester City,1.0,1.0,D
277,Chelsea,Newcastle United,3.0,2.0,H
278,Bournemouth,Luton Town,4.0,3.0,H
279,Burnley,Brentford,2.0,1.0,H
280,Luton Town,Nottingham Forest,1.0,1.0,D
281,Fulham,Tottenham Hotspur,3.0,0.0,H
282,West Ham United,Aston Villa,1.0,1.0,D
283,Newcastle United,West Ham United,4.0,3.0,H
284,Bournemouth,Everton,2.0,1.0,H
285,Chelsea,Burnley,2.0,2.0,D
286,Nottingham Forest,Crystal Palace,1.0,1.0,D
287,Sheffield United,Fulham,3.0,3.0,D
288,Tottenham Hotspur,Luton Town,2.0,1.0,H
289,Aston Villa,Wolverhampton Wanderers,2.0,0.0,H
290,Brentford,Manchester United,1.0,1.0,D
291,Liverpool,Brighton & Hove Albion,2.0,1.0,H
292,Manchester City,Arsenal,0.0,0.0,D
293,Newcastle United,Everton,1.0,1.0,D
294,Nottingham Forest,Fulham,3.0,1.0,H
295,Bournemouth,Crystal Palace,1.0,0.0,H
296,Burnley,Wolverhampton Wanderers,1.0,1.0,D
297,West Ham United,Tottenham Hotspur,1.0,1.0,D
298,Arsenal,Luton Town,2.0,0.0,H
299,Brentford,Brighton & Hove Albion,0.0,0.0,D
300,Manchester City,Aston Villa,4.0,1.0,H
301,Liverpool,Sheffield United,3.0,1.0,H
302,Chelsea,Manchester United,4.0,3.0,H
303,Crystal Palace,Manchester City,2.0,4.0,A
304,Aston Villa,Brentford,3.0,3.0,D
305,Everton,Burnley,1.0,0.0,H
306,Fulham,Newcastle United,0.0,1.0,A
307,Luton Town,Bournemouth,2.0,1.0,H
308,Wolverhampton Wanderers,West Ham United,1.0,2.0,A
309,Brighton & Hove Albion,Arsenal,0.0,3.0,A
310,Manchester United,Liverpool,2.0,2.0,D
311,Sheffield United,Chelsea,2.0,2.0,D
312,Tottenham Hotspur,Nottingham Forest,3.0,1.0,H
313,Newcastle United,Tottenham Hotspur,4.0,0.0,H
314,Brentford,Sheffield United,2.0,0.0,H
315,Burnley,Brighton & Hove Albion,1.0,1.0,D
316,Manchester City,Luton Town,5.0,1.0,H
317,Nottingham Forest,Wolverhampton Wanderers,2.0,2.0,D
318,Bournemouth,Manchester United,2.0,2.0,D
319,Liverpool,Crystal Palace,0.0,1.0,A
320,West Ham United,Fulham,0.0,2.0,A
321,Arsenal,Aston Villa,0.0,2.0,A
322,Chelsea,Everton,6.0,0.0,H
323,Luton Town,Brentford,1.0,5.0,A
324,Sheffield United,Burnley,1.0,4.0,A
325,Wolverhampton Wanderers,Arsenal,0.0,2.0,A
326,Everton,Nottingham Forest,2.0,0.0,H
327,Aston Villa,Bournemouth,3.0,1.0,H
